"dataElement","period","orgUnit","categoryOptionCombo","attributeOptionCombo","value","storedBy","created","lastUpdated","followUp","comment"
"tVr3DNBPDif","2016Q1","wQ2YZ8W9HMw","wGxoultJedR","wGxoultJedR","18","Gonleyen","2016-04-14T18:03:08.118+0000","2016-04-14T18:03:08.116+0000",FALSE,NA
"UOY2PKzbA81","2016Q1","wQ2YZ8W9HMw","wGxoultJedR","wGxoultJedR","18","Gonleyen","2016-04-14T18:03:14.059+0000","2016-04-14T18:03:14.056+0000",FALSE,NA
"ZjX6dK8ZNm4","2016Q1","wQ2YZ8W9HMw","wGxoultJedR","wGxoultJedR","1","Gonleyen","2016-04-14T18:03:17.335+0000","2016-04-14T18:03:17.333+0000",FALSE,NA
"lfhUkDW78Ir","2016Q1","wQ2YZ8W9HMw","wGxoultJedR","wGxoultJedR","false","Gonleyen","2016-04-14T18:03:26.054+0000","2016-04-14T18:03:42.320+0000",FALSE,"March"
"OkdjDuBoeN2","2016Q1","j7fK4FU6rUe","wGxoultJedR","wGxoultJedR","3","Gonleyen","2016-04-14T18:03:52.459+0000","2016-04-14T18:03:52.457+0000",FALSE,NA
"OGhGWM5qXlg","2016Q1","j7fK4FU6rUe","wGxoultJedR","wGxoultJedR","true","Gonleyen","2016-04-14T18:03:54.642+0000","2016-04-14T18:03:54.639+0000",FALSE,NA
"tVr3DNBPDif","2016Q1","j7fK4FU6rUe","wGxoultJedR","wGxoultJedR","5","Gonleyen","2016-04-14T18:03:58.296+0000","2016-04-14T18:03:58.293+0000",FALSE,NA
"ZjX6dK8ZNm4","2016Q1","j7fK4FU6rUe","wGxoultJedR","wGxoultJedR","1","Gonleyen","2016-04-14T18:04:10.277+0000","2016-04-14T18:04:10.275+0000",FALSE,NA
"tlN5zuDnVpl","2016Q1","j7fK4FU6rUe","wGxoultJedR","wGxoultJedR","6","Gonleyen","2016-04-14T18:04:12.427+0000","2016-04-14T18:04:12.425+0000",FALSE,NA
"wZX2UPMhT1y","2016Q1","j7fK4FU6rUe","wGxoultJedR","wGxoultJedR","6","Gonleyen","2016-04-14T18:04:15.909+0000","2016-04-14T18:04:15.906+0000",FALSE,NA
"lfhUkDW78Ir","2016Q1","j7fK4FU6rUe","wGxoultJedR","wGxoultJedR","false","Gonleyen","2016-04-14T18:04:15.979+0000","2016-04-14T18:04:31.171+0000",FALSE,"March 2o16"
"MZYkGxCV6RA","2016Q1","YEK8pItue0K","wGxoultJedR","wGxoultJedR","true","Gonleyen","2016-04-14T18:04:46.294+0000","2016-04-14T18:04:46.292+0000",FALSE,NA
"oXdtI8X8dlF","2016Q1","YEK8pItue0K","wGxoultJedR","wGxoultJedR","3","Gonleyen","2016-04-14T18:04:56.359+0000","2016-04-14T18:04:56.357+0000",FALSE,NA
"UOY2PKzbA81","2016Q1","YEK8pItue0K","wGxoultJedR","wGxoultJedR","35","Gonleyen","2016-04-14T18:05:00.454+0000","2016-04-14T18:05:00.452+0000",FALSE,NA
"lfhUkDW78Ir","2016Q1","YEK8pItue0K","wGxoultJedR","wGxoultJedR","false","Gonleyen","2016-04-14T18:05:14.487+0000","2016-04-14T18:05:29.746+0000",FALSE,"February"
"OkdjDuBoeN2","2016Q1","hM6hppeglUJ","wGxoultJedR","wGxoultJedR","3","Gonleyen","2016-04-14T18:05:50.127+0000","2016-04-14T18:05:50.125+0000",FALSE,NA
"MZYkGxCV6RA","2016Q1","hM6hppeglUJ","wGxoultJedR","wGxoultJedR","true","Gonleyen","2016-04-14T18:05:50.235+0000","2016-04-14T18:05:50.233+0000",FALSE,NA
"MZYkGxCV6RA","2016Q1","L6K4xUpdT6c","wGxoultJedR","wGxoultJedR","true","Gonleyen","2016-04-14T17:16:26.411+0000","2016-04-14T17:16:26.409+0000",FALSE,NA
"zzHaQVGkRPA","2016Q1","L6K4xUpdT6c","wGxoultJedR","wGxoultJedR","true","Gonleyen","2016-04-14T17:16:28.249+0000","2016-04-14T17:16:28.247+0000",FALSE,NA
"oXdtI8X8dlF","2016Q1","L6K4xUpdT6c","wGxoultJedR","wGxoultJedR","3","Gonleyen","2016-04-14T17:16:53.031+0000","2016-04-14T18:20:37.431+0000",FALSE,NA
"oXdtI8X8dlF","2016Q1","l4wFmU7ozI5","wGxoultJedR","wGxoultJedR","3","Gonleyen","2016-04-14T18:14:11.380+0000","2016-04-14T18:14:11.378+0000",FALSE,NA
